		Fixed design					Adaptive design for $\beta_e$						Adaptive design for $(\beta_{e}, \beta_{et}$				
Method	Parameter	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE
ACML	$\beta_0$	0.005402377	0.1287253	0.1286475	0.951		0.003528356	0.1411782	0.1369168	0.927	0.8313668		-0.007037716	0.1499821	0.14663	0.946	0.7366292
	$\beta_t$	-0.003300525	0.0480985	0.04934526	0.96		-0.002461318	0.04094265	0.04147503	0.959	1.380102		-9.839692e-05	0.04014749	0.04094571	0.959	1.435311
	$\beta_e$	0.002131317	0.2145306	0.2103932	0.948		-0.0001662053	0.2016208	0.2003224	0.951	1.13216		0.01030662	0.1990523	0.2006301	0.953	1.161567
	$\beta_{et}$	0.001686067	0.08102897	0.07972748	0.941		0.002308674	0.06721907	0.06691224	0.948	1.453101		-0.00264262	0.06599149	0.06595708	0.954	1.507665
	$\beta_c$	0.001883076	0.07282793	0.07329881	0.944		0.001974043	0.07871634	0.07761353	0.946	0.855985		0.005045558	0.0822906	0.08096104	0.945	0.7832412
	$\gamma$	-0.004419796	0.1275724	0.1272129	0.961		-0.007741884	0.1236179	0.1288435	0.96	1.065002		-0.006981567	0.1307329	0.1328036	0.954	0.9522341
MI	$\beta_0$	-0.0004501709	0.07336627	0.07361807	0.957		-0.0005145698	0.06921641	0.0700891	0.953	1.123505		0.0005767062	0.06886088	0.06964794	0.956	1.135136
	$\beta_t$	-0.0008765608	0.03306201	0.03325103	0.958		0.0002408662	0.03017145	0.03012808	0.949	1.200787		0.0001593684	0.02975598	0.02973046	0.95	1.234554
	$\beta_e$	0.006515228	0.1950856	0.1927269	0.949		0.0111	0.1869957	0.1859287	0.947	1.088396		0.00810868	0.1870159	0.1851062	0.942	1.088161
	$\beta_{et}$	-0.001092281	0.07238107	0.07152348	0.935		-0.003013753	0.06236662	0.06171808	0.951	1.346932		-0.00246071	0.06077919	0.06042981	0.947	1.418209
	$\beta_c$	0.00170134	0.04128867	0.04066098	0.943		0.0006556716	0.04226475	0.0418695	0.945	0.9543443		0.001094816	0.04301787	0.04190043	0.944	0.9212214
	$\gamma$	-0.004312589	0.06219009	0.06472545	0.963		-0.004627922	0.06188283	0.06501113	0.967	1.009955		-0.004312495	0.06199586	0.06497684	0.958	1.006276
